annotator	bunch	filename	mark	label	offset1	offset2	span
y	20	es-S1698-69462006000400002-1.ann	T2	MORFOLOGIA_NEOPLASIA	1890	1921	tumor odontogénico adenomatoide
y	20	es-S1698-69462006000100017-1.ann	T7	MORFOLOGIA_NEOPLASIA	89	95	Cáncer
y	20	es-S1698-69462006000100017-1.ann	T19	MORFOLOGIA_NEOPLASIA	204	215	metastásica
y	20	es-S1698-69462006000100017-1.ann	T20	MORFOLOGIA_NEOPLASIA	220	229	carcinoma
y	20	es-S1698-69462006000300015-1.ann	T2	MORFOLOGIA_NEOPLASIA	1121	1133	neoformación
y	20	es-S1698-69462006000300015-1.ann	T3	MORFOLOGIA_NEOPLASIA	1185	1198	osteocondroma
y	20	es-S1698-69462006000300015-1.ann	T4	MORFOLOGIA_NEOPLASIA	626	631	tumor
y	20	es-S1698-69462006000100019-1.ann	T3	MORFOLOGIA_NEOPLASIA	1468	1494	adenocarcinoma metastásico
y	20	es-S1698-69462006000100019-1.ann	T4	MORFOLOGIA_NEOPLASIA	1087	1099	neoformación
y	20	es-S1698-69462006000100019-1.ann	T7	MORFOLOGIA_NEOPLASIA	1000	1009	neoplasia
y	20	es-S1698-69462006000100019-1.ann	T10	MORFOLOGIA_NEOPLASIA	276	301	adenocarcinoma intestinal
y	20	es-S1698-69462006000100019-1.ann	T11	MORFOLOGIA_NEOPLASIA	244	253	neoplasia
y	20	es-S1698-69462006000100019-1.ann	T12	MORFOLOGIA_NEOPLASIA	108	113	tumor
y	20	es-S1698-69462006000100019-1.ann	T29	MORFOLOGIA_NEOPLASIA	148	158	metástasis
y	20	es-S1698-69462006000100019-1.ann	T30	MORFOLOGIA_NEOPLASIA	637	647	metástasis
y	20	es-S1698-69462006000100019-1.ann	T31	MORFOLOGIA_NEOPLASIA	1793	1803	metástasis
y	20	es-S1698-69462006000100003-1.ann	T12	MORFOLOGIA_NEOPLASIA	332	337	tumor
y	20	es-S2254-28842012000300010-1.ann	T6	MORFOLOGIA_NEOPLASIA	463	472	poliposis
y	20	es-S2254-28842012000300010-1.ann	T16	MORFOLOGIA_NEOPLASIA	120	129	neoplasia
y	20	es-S1699-695X2014000300010-1.ann	T1	MORFOLOGIA_NEOPLASIA	2664	2674	metástasis
y	20	es-S1699-695X2014000300010-1.ann	T4	MORFOLOGIA_NEOPLASIA	2445	2463	carcinoma mucinoso
y	20	es-S1699-695X2014000300010-1.ann	T5	MORFOLOGIA_NEOPLASIA	2379	2414	carcinoma de células transicionales
y	20	es-S1699-695X2014000300010-1.ann	T8	MORFOLOGIA_NEOPLASIA	2105	2140	carcinoma de células transicionales
y	20	es-S1699-695X2014000300010-1.ann	T17	MORFOLOGIA_NEOPLASIA	125	151	"carcinoma ductal ""in situ"
y	20	es-S1699-695X2014000300010-1.ann	T20	MORFOLOGIA_NEOPLASIA	63	79	carcinoma ductal
y	20	es-S1699-695X2014000300010-1.ann	T32	MORFOLOGIA_NEOPLASIA	125	141	carcinoma ductal
y	20	es-S1699-695X2014000300010-1.ann	T36	MORFOLOGIA_NEOPLASIA	63	72	carcinoma
y	20	es-S1699-695X2014000300010-1.ann	T37	MORFOLOGIA_NEOPLASIA	125	134	carcinoma
y	20	es-S1699-695X2014000300010-1.ann	T38	MORFOLOGIA_NEOPLASIA	2105	2114	carcinoma
y	20	es-S1699-695X2014000300010-1.ann	T39	MORFOLOGIA_NEOPLASIA	2379	2388	carcinoma
y	20	es-S1699-695X2014000300010-1.ann	T40	MORFOLOGIA_NEOPLASIA	2445	2454	carcinoma
y	20	es-S1698-69462006000100014-1.ann	T3	MORFOLOGIA_NEOPLASIA	1986	2019	Carcinoma Escamoso Queratinizante
y	20	es-S1698-69462006000100014-1.ann	T7	MORFOLOGIA_NEOPLASIA	1070	1089	lesión neoformativa
y	20	es-S1698-69462006000100014-1.ann	T8	MORFOLOGIA_NEOPLASIA	908	926	Carcinoma Escamoso
y	20	es-S1698-69462006000100014-1.ann	T11	MORFOLOGIA_NEOPLASIA	428	434	cáncer
y	20	es-S1698-69462006000100014-1.ann	T23	MORFOLOGIA_NEOPLASIA	908	917	Carcinoma
y	20	es-S1698-69462006000100014-1.ann	T24	MORFOLOGIA_NEOPLASIA	1986	1995	Carcinoma
y	20	es-S1698-69462006000400005-1.ann	T2	MORFOLOGIA_NEOPLASIA	3220	3240	procesos neoplásicos
y	20	es-S1698-69462006000400005-1.ann	T3	MORFOLOGIA_NEOPLASIA	2925	2958	carcinoma renal de células claras
y	20	es-S1698-69462006000400005-1.ann	T11	MORFOLOGIA_NEOPLASIA	1492	1520	carcinoma ductal infiltrante
y	20	es-S1698-69462006000400005-1.ann	T15	MORFOLOGIA_NEOPLASIA	1219	1229	neoplásica
y	20	es-S1698-69462006000400005-1.ann	T16	MORFOLOGIA_NEOPLASIA	1100	1129	carcinoma papilar de tiroides
y	20	es-S1698-69462006000400005-1.ann	T18	MORFOLOGIA_NEOPLASIA	942	951	neoplasia
y	20	es-S1698-69462006000400005-1.ann	T19	MORFOLOGIA_NEOPLASIA	659	673	fibropapilomas
